# Copyright (c) 2009-2017 Andreas Göransson <andreas.goransson@gmail.com>
# Copyright (c) 2009-2017 Indrek Ardel <indrek@ardel.eu>
#
# This file is part of Call of Duty 4 Promod.
#
# Call of Duty 4 Promod is licensed under Promod Modder Ethical Public License.
# Terms of license can be found in LICENSE.md document bundled with the project.

0,PROMOD_RECORD
1,PROMOD_SUNLIGHT
2,PROMOD_TEXTURE
3,PROMOD_FILMTWEAK
4,PROMOD_FOVSCALE
5,PROMOD_NORMALMAP
6,PROMOD_GFXBLUR
7,PROMOD_VELOCITY

8,ASSAULT_PRIMARY
9,ASSAULT_PRIMARY_ATTACHMENT
10,ASSAULT_SECONDARY
11,ASSAULT_SECONDARY_ATTACHMENT
12,ASSAULT_SECONDARY_CAMO
13,ASSAULT_GRENADE
14,ASSAULT_CAMO

15,SPECOPS_PRIMARY
16,SPECOPS_PRIMARY_ATTACHMENT
17,SPECOPS_SECONDARY
18,SPECOPS_SECONDARY_ATTACHMENT
19,SPECOPS_SECONDARY_CAMO
20,SPECOPS_GRENADE
21,SPECOPS_CAMO

22,DEMOLITIONS_PRIMARY
23,DEMOLITIONS_PRIMARY_ATTACHMENT
24,DEMOLITIONS_SECONDARY
25,DEMOLITIONS_SECONDARY_ATTACHMENT
26,DEMOLITIONS_SECONDARY_CAMO
27,DEMOLITIONS_GRENADE
28,DEMOLITIONS_CAMO

29,SNIPER_PRIMARY
30,SNIPER_PRIMARY_ATTACHMENT
31,SNIPER_SECONDARY
32,SNIPER_SECONDARY_ATTACHMENT
33,SNIPER_SECONDARY_CAMO
34,SNIPER_GRENADE
35,SNIPER_CAMO

36,m16
37,ak47
38,m4
39,g3
40,g36c
41,m14
42,mp44

43,mp5
44,uzi
45,ak74u

46,winchester1200
47,m1014

48,m40a3
49,remington700

50,none
51,silencer

52,deserteaglegold
53,deserteagle
54,colt45
55,usp
56,beretta

57,flash_grenade
58,smoke_grenade

59,camo_none
60,camo_brockhaurd
61,camo_bushdweller
62,camo_blackwhitemarpat
63,camo_tigerred
64,camo_stagger
65,camo_gold
66,camo_twotone
67,camo_dark
68,camo_asiimov
69,camo_x
70,camo_monster
71,camo_secret
72,camo_vulcan
73,camo_cod
74,PROMOD_CLIPINFO
75,PROMOD_GUN_X
